iter	Passed	Remaining
0	3	730
1	7	696
2	10	688
3	15	777
4	21	821
5	26	857
6	31	861
7	36	887
8	43	923
9	48	922
10	52	904
11	57	906
12	64	934
13	70	939
14	74	924
15	79	910
16	84	908
17	88	892
18	91	875
19	94	854
20	98	835
21	102	828
22	106	816
23	112	822
24	118	826
25	122	822
26	127	814
27	131	806
28	133	787
29	137	778
30	140	766
31	143	753
32	146	742
33	151	738
34	156	736
35	160	729
36	164	722
37	170	725
38	175	726
39	181	727
40	187	725
41	190	718
42	194	710
43	198	702
44	201	694
45	204	685
46	208	677
47	211	670
48	216	667
49	221	665
50	228	667
51	234	667
52	239	663
53	243	657
54	247	652
55	251	647
56	255	640
57	258	632
58	263	628
59	266	622
60	270	617
61	274	611
62	282	613
63	287	611
64	292	607
65	296	602
66	301	597
67	304	591
68	307	584
69	311	578
70	314	571
71	316	562
72	319	556
73	323	550
74	328	547
75	335	547
76	341	545
77	346	542
78	351	538
79	355	533
80	359	528
81	363	522
82	366	516
83	369	510
84	372	503
85	376	498
86	382	497
87	388	494
88	393	491
89	398	486
90	402	481
91	405	476
92	409	471
93	413	465
94	416	459
95	419	454
96	423	450
97	428	446
98	432	441
99	436	436
100	441	433
101	448	430
102	454	427
103	459	424
104	464	420
105	468	415
106	473	411
107	478	407
108	481	402
109	487	398
110	496	398
111	516	405
112	523	403
113	530	400
114	539	398
115	544	394
116	550	390
117	557	387
118	568	386
119	575	383
120	583	380
121	593	379
122	601	376
123	614	376
124	622	373
125	629	369
126	635	365
127	641	360
128	645	355
129	649	349
130	658	346
131	676	348
132	682	343
133	688	338
134	693	334
135	698	328
136	702	323
137	707	317
138	710	311
139	716	307
140	723	302
141	736	300
142	741	295
143	745	290
144	749	284
145	753	278
146	757	273
147	760	267
148	763	261
149	766	255
150	771	250
151	775	244
152	780	239
153	786	234
154	790	229
155	794	224
156	799	219
157	804	213
158	808	208
159	812	203
160	817	198
161	822	192
162	826	187
163	833	182
164	839	178
165	844	173
166	850	168
167	854	162
168	859	157
169	863	152
170	867	147
171	871	141
172	875	136
173	880	131
174	887	126
175	893	121
176	899	116
177	903	111
178	908	106
179	911	101
180	915	96
181	918	90
182	921	85
183	926	80
184	931	75
185	935	70
186	939	65
187	943	60
188	948	55
189	955	50
190	961	45
191	967	40
192	971	35
193	976	30
194	981	25
195	984	20
196	988	15
197	992	10
198	995	5
199	999	0
