iter	Passed	Remaining
0	3	749
1	8	816
2	11	760
3	14	731
4	17	695
5	20	669
6	23	659
7	27	656
8	30	650
9	33	638
10	36	627
11	39	622
12	42	616
13	45	607
14	49	606
15	52	600
16	55	593
17	58	594
18	61	588
19	64	583
20	67	576
21	70	569
22	73	568
23	76	563
24	79	558
25	82	553
26	85	547
27	88	544
28	91	540
29	94	535
30	97	531
31	100	526
32	103	522
33	106	521
34	109	517
35	112	513
36	115	509
37	118	505
38	122	503
39	125	500
40	128	496
41	130	492
42	133	488
43	137	486
44	140	482
45	143	478
46	145	475
47	148	471
48	151	467
49	155	465
50	158	462
51	161	459
52	164	456
53	167	453
54	171	451
55	174	449
56	178	446
57	181	443
58	184	441
59	188	439
60	191	435
61	194	432
62	197	428
63	200	425
64	203	422
65	206	419
66	209	415
67	212	411
68	215	408
69	218	406
70	221	402
71	224	399
72	227	395
73	230	392
74	234	390
75	237	386
76	240	383
77	242	379
78	245	376
79	249	373
80	252	370
81	254	366
82	257	363
83	260	359
84	263	356
85	267	354
86	270	350
87	272	347
88	275	344
89	278	340
90	282	338
91	286	335
92	289	333
93	292	329
94	295	326
95	299	324
96	302	320
97	305	317
98	307	314
99	310	310
100	314	307
101	317	304
102	320	301
103	323	298
104	327	295
105	332	294
106	336	292
107	340	289
108	343	286
109	347	284
110	351	281
111	354	278
112	357	274
113	360	271
114	363	268
115	366	265
116	369	262
117	372	259
118	375	255
119	379	253
120	383	250
121	386	247
122	389	243
123	393	240
124	396	237
125	399	234
126	402	231
127	405	228
128	409	225
129	412	222
130	416	219
131	419	215
132	422	212
133	425	209
134	429	206
135	432	203
136	436	200
137	439	197
138	443	194
139	447	191
140	451	188
141	454	185
142	458	182
143	462	179
144	465	176
145	468	173
146	471	170
147	475	167
148	479	164
149	483	161
150	486	157
151	489	154
152	493	151
153	497	148
154	500	145
155	503	142
156	507	138
157	510	135
158	514	132
159	517	129
160	521	126
161	524	123
162	528	119
163	531	116
164	535	113
165	540	110
166	543	107
167	546	104
168	550	100
169	553	97
170	557	94
171	560	91
172	563	88
173	567	84
174	571	81
175	574	78
176	577	75
177	581	71
178	585	68
179	588	65
180	591	62
181	595	58
182	598	55
183	601	52
184	604	49
185	607	45
186	611	42
187	614	39
188	617	35
189	620	32
190	624	29
191	627	26
192	630	22
193	634	19
194	638	16
195	646	13
196	649	9
197	653	6
198	657	3
199	662	0
