iter	RMSE
0	1.10378653
1	1.09458327
2	1.08526777
3	1.076790451
4	1.069298257
5	1.060716205
6	1.054032159
7	1.046450754
8	1.039424514
9	1.034104172
10	1.030013405
11	1.023961991
12	1.018796259
13	1.014308268
14	1.010998224
15	1.006993409
16	1.002662709
17	0.9987973516
18	0.994417204
19	0.9899824209
20	0.9862078149
21	0.9827999911
22	0.9797850908
23	0.9762685187
24	0.9731180355
25	0.9697872209
26	0.9668689172
27	0.9646825579
28	0.9621640881
29	0.9594092415
30	0.9570675921
31	0.9547332816
32	0.9525579835
33	0.9500201632
34	0.9481583701
35	0.9462611769
36	0.9437146051
37	0.9411744385
38	0.9396487915
39	0.9376987117
40	0.9357192849
41	0.9336411475
42	0.9321108607
43	0.9304214157
44	0.9289975659
45	0.9279254378
46	0.9266219931
47	0.9253223622
48	0.9236868424
49	0.9224028859
50	0.921274733
51	0.920129092
52	0.9185635922
53	0.917317694
54	0.9157936971
55	0.9143772508
56	0.9127110922
57	0.9112392269
58	0.9100060496
59	0.9086237434
60	0.9073178982
61	0.9055490098
62	0.9049120835
63	0.9040908624
64	0.9031110465
65	0.9016521993
66	0.9006735761
67	0.8985452939
68	0.8975976539
69	0.8964068891
70	0.8953333295
71	0.8946516071
72	0.8934844337
73	0.8919445189
74	0.8901471713
75	0.8889891635
76	0.8881938468
77	0.8872545739
78	0.8862956203
79	0.8853913942
80	0.8841176835
81	0.8828944292
82	0.8821922211
83	0.8807089452
84	0.8791392273
85	0.8777556231
86	0.877053483
87	0.8764284539
88	0.8752093289
89	0.8743421044
90	0.8727439603
91	0.8718285321
92	0.8707577234
93	0.8693255309
94	0.868408929
95	0.8675176849
96	0.8666168673
97	0.8659407963
98	0.8652601166
99	0.8641397672
100	0.8633365859
101	0.8625933016
102	0.8619060795
103	0.8604518776
104	0.8591880473
105	0.8577357944
106	0.8567207184
107	0.8560186922
108	0.8553864198
109	0.8542731239
110	0.8533923741
111	0.8519625578
112	0.8515242341
113	0.8505130713
114	0.8491727238
115	0.8481391601
116	0.8472854229
117	0.8461490526
118	0.8453217308
119	0.8440680534
120	0.8430481757
121	0.8419219177
122	0.8411513395
123	0.8402787819
124	0.8391457237
125	0.8380453907
126	0.8367731649
127	0.8354077131
128	0.8346078951
129	0.8340068365
130	0.8332173321
131	0.8324218483
132	0.8319672045
133	0.8312382223
134	0.8299240449
135	0.8291269984
136	0.8282415945
137	0.827407145
138	0.8268285577
139	0.8262671704
140	0.8257439986
141	0.8249918556
142	0.8239881209
143	0.8231671824
144	0.8221809229
145	0.8216604271
146	0.8211336087
147	0.8202360049
148	0.81960974
149	0.8188968381
150	0.8181901713
151	0.8174794524
152	0.8169826945
153	0.8165223856
154	0.8158119618
155	0.8150748561
156	0.8144366742
157	0.8133870173
158	0.812272085
159	0.8115317937
160	0.8106090898
161	0.8095343756
162	0.8086178309
163	0.8080938366
164	0.8075494351
165	0.8070566026
166	0.8057020003
167	0.8051095733
168	0.8038472121
