iter	Passed	Remaining
0	171	171354
1	189	94317
2	210	69895
3	236	58981
4	257	51313
5	273	45283
6	291	41405
7	312	38804
8	340	37444
9	358	35530
10	372	33534
11	380	31363
12	387	29405
13	393	27732
14	399	26206
15	403	24842
16	414	23956
17	420	22959
18	427	22081
19	439	21528
20	457	21327
21	477	21215
22	485	20610
23	494	20105
24	501	19572
25	510	19131
26	519	18738
27	529	18367
28	537	17984
29	544	17604
30	549	17165
31	554	16764
32	559	16389
33	562	15994
34	566	15622
35	570	15282
36	575	14965
37	579	14669
38	587	14480
39	597	14333
40	603	14120
41	610	13917
42	616	13712
43	621	13503
44	626	13289
45	632	13120
46	640	12984
47	648	12869
48	658	12782
49	667	12691
50	675	12568
51	684	12483
52	692	12365
53	703	12323
54	712	12234
55	720	12142
56	726	12019
57	732	11898
58	745	11897
59	759	11906
60	769	11848
61	776	11752
62	782	11644
63	788	11529
64	794	11433
65	798	11300
66	802	11176
67	806	11058
68	812	10967
69	820	10894
70	834	10924
71	858	11061
72	863	10969
73	870	10888
74	876	10806
75	879	10695
76	884	10599
77	887	10494
78	893	10414
79	898	10338
80	904	10264
81	909	10177
82	912	10084
83	916	9991
84	920	9904
85	923	9813
86	926	9718
87	928	9623
88	932	9543
89	934	9453
90	938	9372
91	942	9299
92	947	9236
93	953	9192
94	958	9134
95	963	9071
96	967	9002
97	971	8937
98	974	8871
99	980	8823
100	989	8808
101	1007	8874
102	1014	8836
103	1020	8795
104	1028	8763
105	1036	8739
106	1043	8709
107	1048	8658
108	1053	8608
109	1057	8552
110	1060	8497
111	1064	8439
112	1068	8383
113	1071	8325
114	1073	8264
115	1079	8223
116	1086	8197
117	1091	8161
118	1099	8140
119	1105	8109
120	1110	8066
121	1115	8025
122	1118	7977
123	1124	7942
124	1128	7896
125	1131	7846
126	1133	7793
127	1136	7740
128	1139	7695
129	1146	7674
130	1154	7658
131	1161	7638
132	1175	7662
133	1182	7644
134	1190	7626
135	1194	7590
136	1198	7550
137	1202	7510
138	1205	7464
139	1207	7418
140	1210	7377
141	1213	7335
142	1216	7292
143	1221	7262
144	1224	7221
145	1229	7190
146	1233	7156
147	1237	7124
148	1240	7086
149	1246	7063
150	1253	7049
151	1258	7023
152	1263	6991
153	1266	6960
154	1271	6929
155	1274	6896
156	1277	6860
157	1280	6823
158	1283	6786
159	1285	6748
160	1287	6710
161	1290	6677
162	1295	6652
163	1301	6636
164	1311	6635
165	1318	6623
166	1331	6639
167	1337	6622
168	1340	6593
169	1343	6560
170	1346	6525
171	1348	6492
172	1351	6458
173	1355	6435
174	1360	6413
175	1363	6384
176	1368	6364
177	1376	6355
178	1381	6335
179	1385	6309
180	1389	6288
181	1393	6263
182	1396	6234
183	1399	6205
184	1402	6176
185	1405	6150
186	1408	6122
187	1410	6091
188	1413	6064
189	1416	6038
190	1421	6019
191	1425	5997
192	1430	5981
193	1435	5964
194	1440	5946
195	1444	5925
196	1448	5903
197	1453	5886
198	1456	5864
199	1461	5845
200	1465	5824
201	1471	5815
202	1485	5833
203	1494	5830
204	1498	5809
205	1505	5802
206	1512	5792
207	1517	5777
208	1522	5763
209	1526	5742
210	1529	5719
211	1533	5698
212	1536	5675
213	1538	5651
214	1541	5628
215	1543	5603
216	1546	5578
217	1550	5560
218	1558	5557
219	1564	5545
220	1569	5533
221	1574	5517
222	1577	5496
223	1581	5479
224	1585	5460
225	1588	5439
226	1590	5417
227	1593	5395
228	1596	5374
229	1599	5354
230	1601	5333
231	1605	5314
232	1609	5297
233	1615	5289
234	1620	5274
235	1624	5258
236	1628	5243
237	1632	5228
238	1639	5219
239	1642	5201
240	1648	5190
241	1657	5190
242	1668	5197
243	1673	5185
244	1678	5172
245	1682	5156
246	1685	5137
247	1688	5121
248	1691	5102
249	1694	5083
250	1696	5063
251	1699	5043
252	1702	5026
253	1706	5012
254	1710	4997
255	1713	4981
256	1718	4967
257	1722	4954
258	1726	4939
259	1730	4924
260	1737	4919
261	1742	4907
262	1746	4893
263	1751	4881
264	1756	4870
265	1759	4856
266	1763	4841
267	1768	4829
268	1772	4815
269	1775	4799
270	1779	4786
271	1787	4783
272	1794	4777
273	1808	4792
274	1826	4814
275	1839	4824
276	1848	4824
277	1860	4831
278	1869	4832
279	1876	4824
280	1888	4833
281	1898	4833
282	1903	4822
283	1908	4811
284	1913	4801
285	1917	4786
286	1920	4770
287	1922	4753
288	1925	4736
289	1928	4720
290	1932	4709
291	1936	4695
292	1942	4686
293	1948	4678
294	1952	4665
295	1955	4651
296	1958	4636
297	1964	4628
298	1969	4616
299	1972	4603
300	1979	4595
301	1989	4597
302	1998	4596
303	2005	4591
304	2010	4580
305	2014	4567
306	2018	4557
307	2023	4545
308	2026	4532
309	2031	4521
310	2034	4507
311	2037	4492
312	2039	4476
313	2042	4462
314	2045	4448
315	2050	4438
316	2055	4428
317	2060	4419
318	2066	4410
319	2069	4398
320	2073	4387
321	2077	4373
322	2080	4361
323	2083	4347
324	2086	4332
325	2089	4319
326	2091	4304
327	2093	4289
328	2096	4276
329	2100	4264
330	2104	4254
331	2114	4254
332	2121	4248
333	2126	4240
334	2135	4239
335	2142	4233
336	2145	4220
337	2147	4206
338	2150	4193
339	2154	4182
340	2159	4172
341	2163	4162
342	2169	4156
343	2175	4149
344	2180	4139
345	2185	4130
346	2188	4118
347	2193	4109
348	2197	4099
349	2201	4088
350	2203	4075
351	2207	4063
352	2209	4050
353	2213	4039
354	2218	4030
355	2224	4024
356	2230	4016
357	2234	4007
358	2239	3998
359	2242	3986
360	2245	3975
361	2249	3964
362	2252	3951
363	2255	3940
364	2258	3928
365	2260	3915
366	2266	3908
367	2275	3907
368	2283	3904
369	2294	3906
370	2300	3900
371	2305	3891
372	2308	3879
373	2310	3867
374	2313	3855
375	2315	3843
376	2318	3830
377	2322	3821
378	2326	3811
379	2331	3804
380	2337	3797
381	2342	3789
382	2346	3779
383	2349	3768
384	2353	3759
385	2356	3748
386	2359	3737
387	2361	3725
388	2364	3713
389	2366	3702
390	2369	3691
391	2372	3679
392	2375	3668
393	2379	3659
394	2385	3654
395	2391	3647
396	2395	3639
397	2400	3630
398	2403	3620
399	2406	3610
400	2409	3599
401	2412	3588
402	2416	3579
403	2419	3569
404	2425	3563
405	2433	3560
406	2445	3562
407	2455	3562
408	2461	3556
409	2464	3546
410	2467	3536
411	2470	3525
412	2473	3515
413	2475	3504
414	2478	3493
415	2481	3483
416	2484	3473
417	2487	3463
418	2494	3459
419	2499	3452
420	2503	3443
421	2509	3436
422	2512	3427
423	2515	3417
424	2518	3407
425	2521	3397
426	2524	3388
427	2527	3378
428	2530	3367
429	2532	3356
430	2534	3346
431	2539	3338
432	2543	3330
433	2546	3321
434	2549	3311
435	2553	3302
436	2558	3296
437	2563	3289
438	2568	3281
439	2574	3276
440	2579	3269
441	2585	3264
442	2590	3257
443	2596	3251
444	2604	3247
445	2609	3241
446	2613	3233
447	2619	3227
448	2624	3220
449	2629	3213
450	2633	3205
451	2637	3197
452	2642	3190
453	2646	3182
454	2649	3173
455	2654	3166
456	2657	3157
457	2661	3149
458	2665	3141
459	2671	3136
460	2677	3130
461	2684	3125
462	2690	3120
463	2693	3111
464	2698	3104
465	2701	3095
466	2704	3086
467	2707	3077
468	2710	3068
469	2714	3060
470	2719	3054
471	2725	3048
472	2729	3041
473	2735	3035
474	2741	3030
475	2748	3025
476	2753	3018
477	2757	3011
478	2763	3006
479	2768	2999
480	2776	2995
481	2780	2988
482	2789	2985
483	2797	2982
484	2805	2979
485	2812	2974
486	2818	2968
487	2822	2961
488	2826	2953
489	2829	2945
490	2833	2937
491	2836	2929
492	2839	2920
493	2842	2911
494	2844	2902
495	2847	2893
496	2850	2884
497	2853	2876
498	2857	2869
499	2861	2861
500	2865	2854
501	2872	2849
502	2877	2843
503	2885	2839
504	2889	2832
505	2893	2825
506	2899	2818
507	2902	2811
508	2905	2803
509	2909	2794
510	2914	2789
511	2919	2782
512	2926	2778
513	2941	2781
514	2952	2780
515	2969	2785
516	2973	2778
517	2978	2771
518	2983	2765
519	2991	2761
520	2999	2757
521	3004	2751
522	3008	2743
523	3012	2736
524	3015	2728
525	3018	2720
526	3021	2711
527	3023	2703
528	3026	2695
529	3029	2686
530	3032	2678
531	3036	2671
532	3039	2663
533	3044	2656
534	3047	2649
535	3051	2641
536	3056	2634
537	3061	2629
538	3067	2623
539	3072	2617
540	3076	2609
541	3080	2603
542	3084	2595
543	3088	2588
544	3091	2581
545	3094	2573
546	3099	2566
547	3103	2559
548	3109	2554
549	3117	2550
550	3128	2549
551	3136	2545
552	3143	2540
553	3149	2535
554	3152	2527
555	3156	2520
556	3159	2512
557	3161	2504
558	3165	2497
559	3168	2489
560	3170	2481
561	3173	2473
562	3176	2465
563	3183	2460
564	3187	2454
565	3191	2447
566	3212	2453
567	3217	2446
568	3220	2439
569	3224	2432
570	3228	2425
571	3231	2418
572	3234	2410
573	3237	2402
574	3239	2394
575	3242	2386
576	3247	2380
577	3251	2374
578	3259	2370
579	3268	2366
580	3273	2360
581	3285	2359
582	3290	2353
583	3295	2347
584	3298	2339
585	3301	2332
586	3304	2325
587	3308	2318
588	3313	2312
589	3316	2304
590	3319	2297
591	3322	2290
592	3328	2284
593	3333	2278
594	3339	2272
595	3345	2267
596	3350	2261
597	3353	2254
598	3358	2248
599	3362	2241
600	3364	2233
601	3367	2226
602	3370	2219
603	3374	2212
604	3376	2204
605	3379	2197
606	3382	2190
607	3385	2182
608	3394	2179
609	3400	2173
610	3404	2167
611	3409	2161
612	3413	2154
613	3416	2147
614	3419	2140
615	3423	2134
616	3426	2126
617	3430	2120
618	3433	2113
619	3443	2110
620	3456	2109
621	3463	2104
622	3470	2100
623	3474	2093
624	3478	2087
625	3484	2081
626	3488	2075
627	3493	2069
628	3500	2064
629	3505	2058
630	3509	2052
631	3515	2046
632	3519	2040
633	3522	2033
634	3524	2026
635	3527	2018
636	3532	2012
637	3536	2006
638	3539	1999
639	3542	1992
640	3548	1987
641	3552	1980
642	3556	1974
643	3560	1968
644	3567	1963
645	3572	1957
