번호,제목,사건번호,선고일자,참조조문,조문번호,판시사항
3,사기·전자금융거래법위반·교통사고처리특례법위반(치상)·도로교통법위반(무면허운전)·도로교통법위반(음주운전),2020도16420,2022. 12. 22.,도로교통법,"제2조, 제44조, 제148조의2, 제156조","
  [1] 범죄의 성립과 처벌에 관하여 규정한 형벌법규 자체 또는 그로부터 수권 내지 위임을 받은 법령의 변경에 따라 범죄를 구성하지 아니하게 되거나 형이 가벼워진 경우, 종전 법령이 범죄로 정하여 처벌한 것이 부당하였다거나 과형이 과중하였다는 반성적 고려에 따라 변경된 것인지를 따지지 않고 원칙적으로 형법 제1조 제2항과 형사소송법 제326조 제4호가 적용되는지 여부(적극) / 이러한 법리는, 형벌법규가 고시 등 행정규칙·행정명령, 조례 등에 구성요건의 일부를 수권 내지 위임한 경우에도 그 고시 등 규정이 위임입법의 한계를 벗어나지 않는 한 마찬가지인지 여부(적극) / 해당 형벌법규 자체 또는 그로부터 수권 내지 위임을 받은 법령이 아닌 다른 법령이 변경된 경우, 형법 제1조 제2항과 형사소송법 제326조 제4호를 적용하기 위한 요건 / 스스로 유효기간을 구체적인 일자나 기간으로 특정하여 효력의 상실을 예정하고 있던 법령이 그 유효기간을 경과함으로써 더 이상 효력을 갖지 않게 된 경우가 형법 제1조 제2항과 형사소송법 제326조 제4호에서 말하는 ‘법령의 변경’에 해당하는지 여부(소극)

  [2] 피고인이 도로교통법 위반(음주운전)죄로 처벌받은 전력이 있음에도 술에 취한 상태로 전동킥보드를 운전하였다고 하여 구 도로교통법 위반(음주운전)으로 기소되었는데, 구 도로교통법이 개정되어 원심판결 선고 후에 개정 도로교통법이 시행되면서 제2조 제19호의2 및 제21호의2에서 전동킥보드와 같은 ‘개인형 이동장치’와 이를 포함하는 ‘자전거 등’에 관한 정의규정을 신설함에 따라 개인형 이동장치 음주운전 행위는 자동차 등 음주운전 행위를 처벌하는 제148조의2의 적용 대상에서 제외되는 한편 자전거 등 음주운전 행위를 처벌하는 제156조 제11호가 적용되어 법정형이 종전보다 가볍도록 법률이 변경되고 별도의 경과규정은 두지 않은 사안에서, 이러한 법률 개정은 구성요건을 규정한 형벌법규 자체의 개정에 따라 형이 가벼워진 경우에 해당함이 명백하므로, 종전 법령이 반성적 고려에 따라 변경된 것인지를 따지지 않고 형법 제1조 제2항에 따라 신법인 도로교통법 제156조 제11호, 제44조 제1항으로 처벌할 수 있을 뿐이라는 이유로, 행위시법인 구 도로교통법 제148조의2 제1항, 도로교통법 제44조 제1항을 적용하여 공소사실을 유죄로 인정한 원심판결은 더 이상 유지될 수 없다고 한 사례"
6,도로교통법위반(음주운전)·범인도피교사·보험사기방지특별법위반·범인도피,2022도32,2022. 6. 30.,도로교통법,"제44조, 제148조의2","도로교통법 위반(음주측정거부)죄로 형사처벌을 받은 전력이 있는 피고인이 술에 취한 상태에서 자동차를 운전하였다는 공소사실에 대하여, 원심이 도로교통법 제148조의2 제1항, 제44조 제1항을 적용하여 유죄를 선고한 제1심판결을 유지하였는데, 원심판결 선고 후 헌법재판소가 도로교통법 제148조의2 제1항 중 ‘제44조 제1항 또는 제2항을 1회 이상 위반한 사람으로서 다시 같은 조 제1항을 위반한 사람’에 관한 부분에 대하여 위헌결정을 선고한 사안에서, 공소사실은 구 도로교통법 제148조의2 제1항 중 ‘제44조 제2항을 위반한 사람으로서 다시 같은 조 제1항을 위반한 사람’에 관한 부분이 적용되는 경우로서, 원심으로서는 공소사실에 적용되어야 하는 법률조항을 명확히 하고, 그 위헌 여부, 공소장 변경절차의 필요 유무 등에 관하여 심리·판단하였어야 한다고 한 사례"
8,도로교통법위반(사고후미조치)(인정된죄명:도로교통법위반)·도로교통법위반(음주측정거부),2019도10878,2019. 10. 31.,도로교통법,"제54조, 제148조, 제156조","[1] 주·정차된 차만 손괴한 것이 분명한 경우, 도로교통법 제54조 제1항 제2호에 따라 피해자에게 인적 사항을 제공하지 않은 사람은 도로교통법 제148조의 적용 범위에서 제외되고 도로교통법 제156조 제10호만 적용되는지 여부(적극) 및 그 밖에 도로교통법 제54조 제1항에 따른 교통사고 발생 시의 조치를 하지 않은 사람에 대하여는 여전히 도로교통법 제148조가 적용되는지 여부(적극)
  [2] 도로교통법 제54조 제1항의 취지 및 교통사고 발생 시 사고운전자가 취하여야 할 조치의 내용과 정도"
13,도로교통법위반(음주운전)·도로교통법위반(무면허운전),2021도17110,2022. 2. 24.,도로교통법,"제43조, 제44조, 제148조, 제152조, 제154조","[1] 피고인의 도로교통법 위반(음주운전) 공소사실에 대하여, 원심은 피고인이 도로교통법 제44조 제1항을 2회 이상 위반한 사람에 해당한다는 이유로 도로교통법 제148조의2 제1항, 제44조 제1항을 적용하여 유죄를 선고한 제1심판결을 유지하였는데, 헌법재판소가 2021. 11. 25. 구 도로교통법 제148조의2 제1항 중 ‘제44조 제1항을 2회 이상 위반한 사람’에 관한 부분에 대하여 위헌결정을 선고한 사안에서, 원심이 적용한 도로교통법 제148조의2 제1항 중 제44조 제1항을 2회 이상 위반한 사람에 관한 부분은 위 헌법재판소 결정의 심판대상이 되지 않았지만 그 위헌결정 이유와 같은 이유에서 책임과 형벌 사이의 비례원칙에 어긋날 수 있으므로, 원심으로서는 위 법률조항 부분의 위헌 여부 또는 공소장 변경절차의 필요 유무 등에 관하여 심리·판단하였어야 한다고 한 사례
  [2] 포괄일죄와 실체적 경합범의 구별 기준
  [3] 무면허운전으로 인한 도로교통법 위반죄의 죄수(罪數)"
14,도로교통법위반(공동위험행위)ㆍ도로교통법위반ㆍ범인도피교사ㆍ범인도피,2018도10327,2021. 10. 14.,도로교통법,"제46조, 제150조","[1] 도로교통법 제46조 제1항에서 말하는 ‘공동 위험행위’의 의미 및 이를 금지하는 취지 / 위 도로교통법 위반(공동위험행위) 범행의 구성요건으로서 행위자의 고의인 ‘공동의사’의 내용
[2] 피고인이 범죄구성요건의 주관적 요소인 공동의사를 부인하는 경우, 이를 증명하는 방법 및 이때 무엇이 공동의사와 관련성 있는 간접사실 또는 정황사실에 해당하는지 판단하는 방법
[3] 피고인 甲이 평소 잘 알고 지내던 乙과 범행 당일 만나 함께 을왕리 해수욕장에 가기로 약속한 다음 서로 수회 전화통화를 주고받으며 각자 자동차를 운전하여 출발한 후 인천공항고속도로에서 합류하여 함께 주행하면서 여러 구간에서 앞뒤로 또는 좌우로 줄지어 제한속도를 현저히 초과하여 주행하였다는 내용의 공동 위험행위로 인한 도로교통법 위반의 공소사실로 기소된 사안에서, 피고인 甲과 乙에게는 공동 위험행위에 관한 공동의사가 있었다고 보는 것이 타당함에도 피고인 甲과 乙이 공동으로 저지른 도로교통법 위반(공동위험행위) 부분 등을 무죄로 본 원심판단에 법리오해의 잘못이 있다고 한 사례"
18,"특정범죄가중처벌등에관한법률위반(도주차량,인정된죄명:교통사고처리특례법위반,도로교통법위반),폭력행위등처벌에관한법률위반,도로교통법위반",90도1516,1990. 11. 27.,도로교통법,"제2조, 제15조, 제41조, 제109조","가. 배기량 50씨씨 미만의 오토바이가           특정범죄가중처벌등에관한법률 제5조의 3의 도주차량가중처벌규정의 적용대상인           도로교통법 제2조 제15호 소정의 “원동기장치 자전거”에 해당하는지 여부(소극)        
나. 배기량 50씨씨 미만의 오토바이가 도로교통법에서 처벌하는           같은 법 제41조 제1항 및 제2항 소정의 “자동차등”의 주취운전행위 및 주취측정거부행위의 대상이 되는 “원동기장치 자전거”에 해당하는지 여부(소극)        
다. 50씨씨 미만의 원동기를 단 자전거를 “원동기장치 자전거”에 포함시킨           도로교통법시행규칙(1987.8.1. 교통부령 제861호) 제2조의2가 모법인           도로교통법 제2조 제15호에 위반되어 무효인지 여부(적극)"
19,도로교통법위반(무면허운전),2017도9230,2017. 10. 31.,도로교통법,"제1조, 제80조, 제85조, 제96조, 제152조","[1] 도로교통법 제96조 제1항의 ‘국내에 입국한 날’의 의미(=출입국관리법에 따라 적법한 입국심사절차를 거쳐 입국한 날) 및 적법한 입국심사절차를 거치지 아니하고 불법으로 입국하였으나 국제운전면허증을 소지하고 있는 경우, 도로교통법 제96조 제1항이 예외적으로 허용하는 국제운전면허증에 의한 운전을 한 경우에 해당하는지 여부(소극)
[2] 외국인인 피고인이 운전면허 없이 도로에서 자동차를 운전하였다고 하여 도로교통법 위반(무면허운전)으로 기소되었는데, 피고인은 법무부장관이 발급한 사증 없이 입국심사를 받지 않고 국내에 입국한 후 1년 이내에 자동차를 운전하였고, 운전을 하기 전에 외국에서 국제운전면허증을 발급받은 사안에서, 피고인이 출입국관리법에 따른 정상적인 입국심사절차를 거치지 아니하고 불법으로 입국한 이상 도로교통법 제96조 제1항이 예외적으로 허용하는 국제운전면허증에 의한 운전에 해당하지 않는다고 한 사례"
22,도로교통법위반(음주측정거부),2022도3929,2022. 7. 28.,도로교통법,"제44조, 제148조의2","음주측정거부 전력이 있는 피고인이 음주측정요구에 불응하였다는 공소사실에 대하여, 원심이 도로교통법 제148조의2 제1항 중 ‘제44조 제2항을 위반한 사람으로서 다시 같은 조 제2항을 위반한 사람’에 관한 부분(‘해당 법률조항’)을 적용하여 유죄를 선고한 제1심판결을 유지하였는데, 헌법재판소가 구 도로교통법 제148조의2 제1항과 도로교통법 제148조의2 제1항 중 각 ‘제44조 제1항 또는 제2항을 2회 이상 위반한 사람’ 부분과 관련하여 일련의 위헌결정들을 한 사안에서, 원심이 적용한 해당 법률조항은 위헌결정들의 심판대상이 되지는 않았지만 위헌이 선언된 법률조항과 실질적으로 동일하므로, 원심으로서는 해당 법률조항의 위헌 여부 또는 그 적용에 따른 위헌적 결과를 피하기 위한 공소장 변경절차 등의 필요 유무 등에 관하여 심리·판단하였어야 한다고 한 사례"
25,특정범죄가중처벌등에관한법률위반(운전자폭행등)(인정된 죄명: 상해)·재물손괴·특정범죄가중처벌등에관한법률위반(도주치상)·도로교통법위반(사고후미조치)·도로교통법위반(음주운전)·도로교통법위반(무면허운전)·특정범죄가중처벌등에관한법률위반(위험운전치상),2022도1013,2022. 4. 28.,도로교통법,제2조,"[1] 특정범죄 가중처벌 등에 관한 법률 제5조의10에서 정한 ‘자동차’가 도로교통법상 자동차를 의미하는지 여부(적극) 및 도로교통법상 원동기장치자전거가 ‘자동차’에 포함되는지 여부(소극)
  [2] 자동차관리법과 도로교통법이 ‘자동차’의 범위를 달리 정한 취지 / 특정범죄 가중처벌 등에 관한 법률 제5조의10의 입법 취지 및 이러한 입법 취지는 자동차관리법보다 도로교통법의 입법 취지에 더 부합하는지 여부(적극)"
26,자동차운전면허 취소처분 취소,2008구단6091,2011. 1. 28.,도로교통법,제93조,"[1]           도로교통법 시행규칙 제91조 제1항 [별표 28] 제2호 (13)목,           제92조 제2호 (마)목이 위임입법의 한계를 벗어난 것인지 여부(적극)        
[2]           도로교통법 시행규칙 제91조 제1항 [별표 28] 제2호 (13)목,           제92조 제2호 (마)목이 과잉금지의 원칙에 위배되는지 여부(적극)        
[3] ‘촛불자동차연합’ 소속 회원들과 함께 이른바 ‘촛불집회’ 시위대 행렬 후미를 따라 차량을 운전하여 진행한 위 연합 소속 회원 甲에 대하여, 지방경찰청장이 ‘단체에 소속되거나 다수인에 포함되어 있던 甲이 자동차를 이용하여 교통을 방해하는 행위를 하였다’는 이유로           도로교통법 제93조 제1항 제11호 등에 따라 운전면허를 취소한 사안에서, 그 취소처분이 위법하다고 한 사례"
